,RMS CH1,Response Phase CH1,RMS CH2,Response Phase CH2,RMS CH3,Response Phase CH3,DC CH1,DC CH2,DC CH3
0,1.595636035413173e-05,2.6800596856369694,1.1927450133146314e-05,1.9918389413605768,2.853587927350663e-05,-0.5749952199156885,0.3065885356532472,2.9668256513583944,1.5259973252143484
0,1.506257406865454e-05,2.5254475989905143,2.01959336450084e-05,2.00146978401892,3.234932394407397e-05,-0.8336152048484847,0.30624239920500784,2.9664587123713355,1.526692277907943
0,1.63797227493855e-05,2.0290355315970183,2.1889110882418783e-05,2.1768341457008056,3.5925786236162865e-05,-1.1713579960075164,0.2991013581355114,2.9583554415287328,1.5416959419643346
0,1.0836290192353069e-05,2.431448962193191,3.264761462524984e-05,2.7301360942344917,3.0114767474773813e-05,-0.5127885053784443,0.2900403893709537,2.947493581334159,1.5613013526368318
0,1.202215966099307e-05,2.3970497927498746,4.023936491092604e-05,2.9016068478678636,3.937136418043358e-05,-0.5651007962450213,0.28574545081679525,2.942233445485504,1.5707173983424698
0,1.0394806602989203e-05,1.2011017140699392,3.0229382892908614e-05,2.3329303384550055,2.5285837489072405e-05,-1.6973606290153633,0.2897282202297112,2.947311458745848,1.5620705226369174
0,7.34547649241573e-06,1.5756289286833254,3.535440504959905e-05,2.9444301800465547,2.2859700063390385e-05,-0.6669444756482129,0.29882401266708114,2.958416124058631,1.5424654931614445
0,1.805156620548005e-05,2.002626304026288,1.3456785766434603e-05,2.2515951852944065,3.576918300184599e-05,-1.1713940916637273,0.30940857195269106,2.9705216355498787,1.5204671256614986
0,1.4533787865004165e-05,2.323445497649777,8.371285903659646e-06,-0.8982971243757211,1.5421288807823035e-05,-0.8146826876308656,0.3203034064563055,2.982174418829121,1.4984746518629402
0,1.6397379843040477e-05,2.601974218585974,2.2964335949547832e-05,2.3599761702001714,3.829225863850116e-05,-0.6087962888108059,0.3330271934793424,2.994947857089571,1.473589785999092
0,2.1469292956030207e-05,2.148117735203403,1.3424691748856515e-05,1.5121130916327725,3.6788811730719846e-05,-1.1364683281270576,0.3481367555856981,3.0090230416794372,1.4449755592178375
0,1.2712575672090448e-05,2.171472405075926,1.5113415681354225e-05,2.7295075670599895,2.4046164026375124e-05,-0.6414995243935007,0.3659778917751185,3.024333352473818,1.4124203876660006
0,1.7403672969217983e-05,2.4451471806669662,1.476362513731584e-05,2.4943622801817558,3.4838514501004e-05,-0.8511022187775474,0.38562235208292145,3.0398359299700597,1.378113231123466
0,1.1580236773977169e-05,2.6395077883983245,1.5762954443004416e-06,1.9923812641125147,1.3144027984083436e-05,-0.3545009156780288,0.4045422226627062,3.0535264130531945,1.3463797013150176
0,1.2182690623504548e-05,2.9972973356876547,2.4822093105341193e-05,2.7816128196016634,2.8916004128986194e-05,-0.23145236443289005,0.4207618364213394,3.0643251288507347,1.3200587956637866
0,2.7157839588758252e-05,2.1178854232356543,1.3019578942941222e-05,0.33304472073895225,3.67551805353548e-05,-1.214412493779976,0.43476514924712106,3.0730447007443407,1.297959381697244
0,1.082711909343026e-05,-3.0362595017123595,6.473561880771973e-06,1.1635639638125999,1.767655689030482e-05,0.10429958406818195,0.4487213430553334,3.0811206653180236,1.276438764123601
0,2.7545842948441864e-05,2.453822758011793,2.005661884213883e-05,1.2173208106268452,4.2054010592041574e-05,-0.8748803657802136,0.46112851777124875,3.087891046055225,1.2576961759039187
0,5.301509390731492e-06,0.5430459695695675,1.4938871670910727e-05,2.085839592928649,7.718313729470279e-06,-2.457504557424568,0.4684298949260301,3.091774353224257,1.246944935311439
0,1.811494094982837e-05,2.8583918913667765,1.4470399675454291e-05,0.07896804349609148,2.104639612302215e-05,-0.27592124533555884,0.46772803933699914,3.0913858325029437,1.2480052684097651
0,2.2733187934312302e-05,2.3395606567647302,3.4509149999600027e-06,1.9415726189366627,3.041548777522866e-05,-0.8038540407141082,0.4567117989203823,3.085645736050135,1.2645641092969022
0,2.0504233071775003e-05,2.031533878220615,1.3571827716565718e-05,1.9027918332714555,3.510292468113e-05,-1.172263534877704,0.43992617961408564,3.076323432592685,1.2903028553442077
0,1.6284289841657696e-05,2.643532363889834,2.920235032802997e-05,2.4166685129608076,3.0953388756437456e-05,-0.4981819110628824,0.42297877512700777,3.066010789494651,1.3169997334236792
0,7.689157210512644e-06,1.4481489465402402,8.437370007939107e-06,-2.834268139518372,1.1852210283655156e-05,-1.295268335971427,0.40725920083750267,3.055790204655669,1.3425540063952923
0,1.6047399195803472e-05,2.3685414882584808,2.3778951915607908e-05,2.1466899607037693,3.186212695508628e-05,-0.8581010432254293,0.3926644733821349,3.0456283461203872,1.3669258033288612
0,1.636570644735214e-05,3.0411344713317834,2.773046538134296e-05,-3.0828246823220264,3.491480345990545e-05,-0.016766763347394006,0.3788998447743853,3.0352609708046314,1.3905233253462446
0,2.8879983300848388e-05,2.326437038158476,2.327425827109452e-05,1.6671865782674802,5.152671977199795e-05,-0.9645873602791903,0.36727411888203226,3.025954755465528,1.4110520239325612
0,6.548365381314166e-06,2.286216760961707,1.246929572889508e-05,2.0429514020334434,1.074945964444052e-05,-0.9684590943435474,0.35668022030086904,3.017020948043259,1.4301756630982438
0,2.5443005439706733e-05,2.6356797968649808,3.079840418417844e-05,-3.0406071235909073,5.4093853730205507e-05,-0.38721711126882274,0.3449015229739383,3.0065421768041327,1.4519653625481197
