Demodulated Signal 1,Demodulated Signal 2,Demodulated Signal 3,Interferometric Phase,PTI Signal,Response Phase 1,Response Phase 2,Response Phase 3,Root Mean Square 1,Root Mean Square 2,Root Mean Square 3
2.3061e-05,-2.7255e-06,-2.03354e-05,-1.10336,1.78326e-05,2.38509,-0.952429,-0.730982,2.34617e-05,2.72566e-06,2.07949e-05
2.20976e-05,-2.43957e-06,-1.9658e-05,-1.10159,1.71039e-05,2.30879,-0.686852,-0.851377,2.2229e-05,2.52092e-06,1.97383e-05
1.91195e-05,-2.77487e-06,-1.63445e-05,-1.10496,1.47722e-05,2.28957,-0.864042,-0.849987,1.91964e-05,2.78324e-06,1.64134e-05
2.49353e-05,-2.96931e-06,-2.1966e-05,-1.11434,1.91707e-05,2.39016,-0.867489,-0.736072,2.5393e-05,2.97749e-06,2.24382e-05
2.19314e-05,-3.2548e-06,-1.86766e-05,-1.13105,1.67183e-05,2.24591,-0.82074,-0.908817,2.19545e-05,3.27871e-06,1.86867e-05
2.16643e-05,-3.95586e-06,-1.77084e-05,-1.1544,1.63288e-05,2.32588,-0.89809,-0.797495,2.18371e-05,3.95961e-06,1.78939e-05
2.4129e-05,-4.55605e-06,-1.95729e-05,-1.17757,1.79953e-05,2.39088,-0.818824,-0.735089,2.45754e-05,4.5906e-06,1.99978e-05
2.3613e-05,-4.91644e-06,-1.86966e-05,-1.19409,1.74851e-05,2.27523,-0.825357,-0.877194,2.368e-05,4.94984e-06,1.87355e-05
2.14302e-05,-5.12023e-06,-1.631e-05,-1.20021,1.5828e-05,2.3585,-0.789525,-0.78108,2.17022e-05,5.18e-06,1.65223e-05
2.33785e-05,-5.33186e-06,-1.80466e-05,-1.19798,1.72831e-05,2.3887,-0.823156,-0.732446,2.3801e-05,5.36947e-06,1.84486e-05
2.53005e-05,-5.44587e-06,-1.98545e-05,-1.19252,1.8747e-05,2.33479,-0.857945,-0.79289,2.55321e-05,5.46498e-06,2.00761e-05
2.32285e-05,-5.07696e-06,-1.81515e-05,-1.19105,1.72225e-05,2.32553,-0.819691,-0.815043,2.34127e-05,5.11492e-06,1.82978e-05
2.33151e-05,-5.33741e-06,-1.79777e-05,-1.19963,1.72244e-05,2.27832,-0.904038,-0.851211,2.33868e-05,5.34118e-06,1.80514e-05
2.3076e-05,-5.55385e-06,-1.75221e-05,-1.2198,1.69093e-05,2.30631,-0.838477,-0.834267,2.32071e-05,5.58351e-06,1.76235e-05
2.55859e-05,-6.95577e-06,-1.86301e-05,-1.245,1.85705e-05,2.35693,-0.836286,-0.76558,2.59042e-05,6.99451e-06,1.89224e-05
2.42561e-05,-6.64811e-06,-1.7608e-05,-1.26837,1.74617e-05,2.3753,-0.806285,-0.751333,2.46337e-05,6.70944e-06,1.79315e-05
2.44375e-05,-7.4705e-06,-1.6967e-05,-1.2888,1.74753e-05,2.31377,-0.803474,-0.838589,2.45965e-05,7.54233e-06,1.70574e-05
2.36696e-05,-8.01445e-06,-1.56551e-05,-1.30726,1.68311e-05,2.26385,-0.889971,-0.871491,2.37179e-05,8.02514e-06,1.56937e-05
