i,X1,Y1,X2,Y2,X3,Y3,DC1,DC2,DC3
97,-0.0000021132,0.0000000680,0.0000000362,-0.0000002680,0.0000019933,0.0000005413,0.3370833797,0.0060522090,0.5463724813
98,0.0000000030,-0.0000017647,0.0000000574,-0.0000003196,0.0000002400,0.0000010059,0.3370275655,0.0060481339,0.5464224948
99,0.0000006087,-0.0000011059,0.0000000111,-0.0000001968,-0.0000005470,0.0000008605,0.3368873582,0.0060423838,0.5465498377
100,-0.0000005185,-0.0000005016,0.0000000324,-0.0000002207,0.0000000306,0.0000002547,0.3366580383,0.0060335774,0.5468137037
101,-0.0000016901,-0.0000014684,0.0000000051,-0.0000001877,0.0000006285,0.0000015717,0.3363708914,0.0060224709,0.5471717912
102,0.0000007185,-0.0000008832,0.0000000228,-0.0000002192,-0.0000012414,0.0000003698,0.3360650544,0.0060148333,0.5474974195
103,0.0000001152,-0.0000014365,0.0000000804,-0.0000002608,0.0000007365,0.0000011510,0.3358466672,0.0060102770,0.5477412126
104,-0.0000015488,-0.0000008939,0.0000000618,-0.0000002876,0.0000009754,0.0000007461,0.3355787606,0.0060071331,0.5479929737
105,-0.0000013982,-0.0000008368,0.0000000699,-0.0000002294,0.0000007225,0.0000002784,0.3353493157,0.0059945767,0.5482470283
106,-0.0000002204,-0.0000012382,0.0000000523,-0.0000003306,0.0000013079,0.0000012179,0.3351679713,0.0059864452,0.5484763979
107,0.0000017288,0.0000004695,0.0000001804,-0.0000002173,-0.0000018812,-0.0000005881,0.3350628064,0.0059842140,0.5485737065
108,-0.0000003612,0.0000005359,0.0000000205,-0.0000002630,0.0000005193,-0.0000000510,0.3350441850,0.0059833952,0.5485759812
109,0.0000010167,0.0000015360,0.0000000681,-0.0000002524,-0.0000005522,-0.0000010635,0.3349126726,0.0059786264,0.5486795078
110,0.0000015079,-0.0000005463,0.0000000913,-0.0000002427,-0.0000028993,0.0000008639,0.3346817587,0.0059745263,0.5489414803
111,0.0000000154,-0.0000025655,0.0000001084,-0.0000002210,-0.0000006288,0.0000013854,0.3344780799,0.0059666949,0.5491680628
112,0.0000002710,-0.0000008599,0.0000000693,-0.0000002136,0.0000004505,0.0000015346,0.3343003798,0.0059587760,0.5493637423
113,-0.0000000607,-0.0000002179,0.0000001211,-0.0000002374,0.0000003865,0.0000010992,0.3342440781,0.0059604760,0.5494398780
