Heating,Detector 1,Detector 2,Detector 3,
1.52849,0.378368,0.00785059,0.493915,
1.53373,0.403684,0.0119132,0.46298,
1.53898,0.428688,0.0169133,0.431109,
1.54423,0.451504,0.0222259,0.400799,
1.54948,0.474319,0.0294135,0.369553,
1.55472,0.496198,0.0369136,0.338306,
1.55997,0.516825,0.0462888,0.307684,
1.56522,0.535891,0.055664,0.277687,
1.57046,0.552768,0.0662892,0.248003,
1.57571,0.568083,0.0772269,0.220506,
1.58096,0.581522,0.0887896,0.194259,
1.58621,0.593399,0.100977,0.168949,
1.59145,0.602463,0.113478,0.147076,
1.5967,0.609339,0.126603,0.125828,
1.60195,0.614027,0.140978,0.106143,
1.6072,0.61809,0.154103,0.0892696,
1.61244,0.617777,0.167854,0.0745836,
1.61769,0.616215,0.181604,0.0617725,
1.62294,0.612777,0.195042,0.0523984,
1.62819,0.607151,0.207854,0.0452117,
1.63343,0.5984,0.220667,0.0402122,
1.63868,0.589961,0.232855,0.0377125,
1.64393,0.578084,0.245043,0.038025,
1.64918,0.56527,0.255668,0.0402122,
1.65442,0.551518,0.265981,0.0445868,
1.65967,0.536203,0.275043,0.052086,
1.66492,0.519638,0.283793,0.06146,
1.67016,0.499948,0.291606,0.0736462,
1.67541,0.481821,0.299106,0.0867698,
1.68066,0.46088,0.305044,0.102706,
1.68591,0.440252,0.309731,0.120204,
1.69115,0.418687,0.313794,0.139577,
1.6964,0.397746,0.315669,0.159887,
1.70165,0.375243,0.317544,0.182697,
1.7069,0.353365,0.317544,0.205507,
1.71214,0.331799,0.316919,0.230192,
1.71739,0.308984,0.314419,0.256127,
1.72264,0.287731,0.311294,0.283312,
1.72789,0.26679,0.306606,0.310184,
1.73313,0.246475,0.300981,0.337681,
1.73838,0.22741,0.293794,0.365803,
1.74363,0.208344,0.285981,0.394237,
1.74888,0.189904,0.277231,0.422047,
1.75412,0.174277,0.267543,0.448919,
1.75937,0.158025,0.25723,0.477041,
1.76462,0.143648,0.245668,0.503913,
1.76987,0.130208,0.233167,0.531723,
1.77511,0.118332,0.220355,0.557033,
1.78036,0.108955,0.206604,0.58078,
1.78561,0.100517,0.193479,0.603278,
1.79085,0.0942657,0.180041,0.623276,
1.7961,0.0895776,0.165041,0.643274,
1.80135,0.0861396,0.151916,0.65921,
1.8066,0.0861396,0.137853,0.674208,
1.81184,0.0873898,0.124103,0.686394,
1.81709,0.0902026,0.110665,0.696081,
1.82234,0.0948908,0.0981648,0.70483,
1.82759,0.102079,0.0853521,0.709829,
1.83283,0.110518,0.0734768,0.712329,
1.83808,0.121457,0.0622266,0.711392,
1.84333,0.134271,0.0522264,0.707955,
1.84858,0.148961,0.0425388,0.702643,
1.85382,0.164588,0.0344136,0.693894,
1.85907,0.182091,0.0266009,0.682957,
1.86432,0.200531,0.0203508,0.669209,
1.86957,0.221784,0.0141007,0.652648,
1.87481,0.243349,0.0109757,0.634212,
1.88006,0.265227,0.00753809,0.614214,
1.88531,0.287731,0.00566305,0.591404,
1.89055,0.312422,0.00441303,0.565157,
1.8958,0.338363,0.00472553,0.53891,
1.90105,0.362429,0.00628806,0.511413,
1.9063,0.386495,0.00941312,0.483603,
