i,X1,Y1,X2,Y2,X3,Y3,DC D1 con scaled (V),DC D2 con scaled,DC D3 con scaled,Norm D1X,Norm D1Y,Norm D2X,Norm D2Y,Norm D3X,Norm D3Y,Norm DC1 (V),Norm DC2 (V),Norm DC3 (V),Normalised phase (rad),Ernest new,Ernest new phase (rad),Proj Ernest new, 
1136,-2.67E-06,4.49E-07,1.96E-06,-3.64E-07,7.02E-07,-8.50E-08,6.89E-01,8.38E-01,6.27E-05,-8.26E-07,1.39E-07,5.87E-07,-1.09E-07,2.07E-07,-2.51E-08,5.04E-01,9.90E-01,-1.49E+00,1.23E+00,8.56E-07,-1.67E-01,-6.69E-07,
1137,-1.27E-06,2.83E-06,7.72E-07,-2.25E-06,5.02E-07,-5.81E-07,7.00E-01,8.29E-01,-1.61E-03,-3.95E-07,8.77E-07,2.31E-07,-6.73E-07,1.48E-07,-1.71E-07,5.37E-01,9.63E-01,-1.50E+00,1.21E+00,9.93E-07,-1.15E+00,-9.46E-07,
1138,1.03E-06,2.61E-06,-1.08E-06,-1.97E-06,4.56E-08,-6.40E-07,7.11E-01,8.20E-01,-3.00E-03,3.19E-07,8.07E-07,-3.22E-07,-5.88E-07,1.34E-08,-1.89E-07,5.69E-01,9.36E-01,-1.51E+00,1.19E+00,9.05E-07,-1.95E+00,-4.05E-07,
1139,1.00E-06,6.74E-07,-8.20E-07,-3.89E-07,-1.82E-07,-2.84E-07,7.20E-01,8.12E-01,-3.98E-03,3.10E-07,2.09E-07,-2.45E-07,-1.16E-07,-5.36E-08,-8.38E-08,5.97E-01,9.12E-01,-1.51E+00,1.17E+00,3.93E-07,-2.55E+00,5.39E-08,
1140,-2.58E-06,-7.41E-08,2.09E-06,4.14E-09,4.94E-07,7.00E-08,7.27E-01,8.06E-01,-4.63E-03,-8.00E-07,-2.30E-08,6.24E-07,1.24E-09,1.46E-07,2.06E-08,6.19E-01,8.93E-01,-1.51E+00,1.15E+00,8.47E-07,2.86E-02,-5.46E-07,
1141,-2.39E-06,3.85E-06,1.87E-06,-3.27E-06,5.12E-07,-5.83E-07,7.33E-01,8.01E-01,-5.02E-03,-7.39E-07,1.19E-06,5.60E-07,-9.77E-07,1.51E-07,-1.72E-07,6.35E-01,8.79E-01,-1.51E+00,1.14E+00,1.49E-06,-1.02E+00,-1.47E-06,
1142,1.51E-06,3.62E-06,-1.26E-06,-3.09E-06,-2.48E-07,-5.23E-07,7.36E-01,7.98E-01,-5.22E-03,4.67E-07,1.12E-06,-3.76E-07,-9.24E-07,-7.31E-08,-1.54E-07,6.45E-01,8.70E-01,-1.51E+00,1.13E+00,1.30E-06,-1.97E+00,-5.60E-07,
1143,1.77E-07,1.21E-07,-2.56E-07,-1.82E-07,7.91E-08,6.10E-08,7.37E-01,7.97E-01,-5.30E-03,5.48E-08,3.76E-08,-7.66E-08,-5.44E-08,2.33E-08,1.80E-08,6.49E-01,8.66E-01,-1.52E+00,1.13E+00,7.14E-08,-2.54E+00,9.16E-09,
1144,-3.04E-06,1.69E-06,2.55E-06,-1.47E-06,4.96E-07,-2.20E-07,7.37E-01,7.97E-01,-5.31E-03,-9.42E-07,5.23E-07,7.61E-07,-4.38E-07,1.46E-07,-6.49E-08,6.50E-01,8.65E-01,-1.52E+00,1.13E+00,1.15E-06,-5.06E-01,-1.09E-06,
1145,-1.66E-06,4.21E-06,1.45E-06,-3.73E-06,2.11E-07,-4.73E-07,7.37E-01,7.98E-01,-5.28E-03,-5.15E-07,1.30E-06,4.34E-07,-1.12E-06,6.23E-08,-1.39E-07,6.48E-01,8.67E-01,-1.52E+00,1.13E+00,1.50E-06,-1.19E+00,-1.41E-06,
1146,1.02E-06,3.58E-06,-9.66E-07,-3.27E-06,-5.17E-08,-3.11E-07,7.35E-01,7.99E-01,-5.20E-03,3.15E-07,1.11E-06,-2.89E-07,-9.78E-07,-1.52E-08,-9.15E-08,6.44E-01,8.71E-01,-1.51E+00,1.13E+00,1.23E-06,-1.85E+00,-6.60E-07,
1147,2.60E-07,1.48E-06,-3.64E-07,-1.41E-06,1.04E-07,-7.45E-08,7.34E-01,8.00E-01,-5.12E-03,8.06E-08,4.59E-07,-1.09E-07,-4.21E-07,3.07E-08,-2.20E-08,6.40E-01,8.74E-01,-1.51E+00,1.14E+00,4.98E-07,-1.75E+00,-3.08E-07,
1148,-1.80E-06,1.46E-06,1.52E-06,-1.37E-06,2.77E-07,-9.55E-08,7.33E-01,8.01E-01,-5.04E-03,-5.57E-07,4.53E-07,4.54E-07,-4.08E-07,8.17E-08,-2.81E-08,6.36E-01,8.78E-01,-1.51E+00,1.14E+00,7.64E-07,-6.83E-01,-7.55E-07,
1149,-1.77E-06,3.67E-06,1.54E-06,-3.43E-06,2.23E-07,-2.40E-07,7.32E-01,8.02E-01,-4.98E-03,-5.47E-07,1.14E-06,4.61E-07,-1.03E-06,6.59E-08,-7.07E-08,6.33E-01,8.80E-01,-1.51E+00,1.14E+00,1.34E-06,-1.12E+00,-1.29E-06,
1150,8.28E-07,4.22E-06,-8.06E-07,-3.95E-06,-2.25E-08,-2.69E-07,7.31E-01,8.03E-01,-4.93E-03,2.56E-07,1.31E-06,-2.41E-07,-1.18E-06,-6.63E-09,-7.94E-08,6.31E-01,8.82E-01,-1.51E+00,1.14E+00,1.42E-06,-1.76E+00,-8.56E-07,
1151,1.66E-06,2.17E-06,-1.58E-06,-2.04E-06,-8.27E-08,-1.22E-07,7.31E-01,8.03E-01,-4.89E-03,5.15E-07,6.71E-07,-4.72E-07,-6.10E-07,-2.44E-08,-3.61E-08,6.30E-01,8.84E-01,-1.51E+00,1.14E+00,8.99E-07,-2.23E+00,-1.67E-07,
1152,-9.77E-08,5.81E-07,8.85E-08,-5.67E-07,9.25E-09,-1.46E-08,7.31E-01,8.03E-01,-4.91E-03,-3.03E-08,1.80E-07,2.64E-08,-1.69E-07,2.73E-09,-4.31E-09,6.30E-01,8.83E-01,-1.51E+00,1.14E+00,1.94E-07,-1.40E+00,-1.64E-07,
1153,-2.03E-06,2.75E-06,1.91E-06,-2.61E-06,1.26E-07,-1.36E-07,7.33E-01,8.01E-01,-5.02E-03,-6.29E-07,8.51E-07,5.70E-07,-7.80E-07,3.71E-08,-4.01E-08,6.35E-01,8.79E-01,-1.51E+00,1.14E+00,1.13E-06,-9.34E-01,-1.12E-06,
1154,5.22E-07,4.25E-06,-4.96E-07,-3.98E-06,-2.65E-08,-2.67E-07,7.36E-01,7.99E-01,-5.20E-03,1.62E-07,1.32E-06,-1.48E-07,-1.19E-06,-7.82E-09,-7.88E-08,6.44E-01,8.71E-01,-1.52E+00,1.13E+00,1.42E-06,-1.69E+00,-9.33E-07,
1155,2.23E-06,2.38E-06,-2.09E-06,-2.23E-06,-1.37E-07,-1.45E-07,7.40E-01,7.95E-01,-5.41E-03,6.91E-07,7.36E-07,-6.26E-07,-6.67E-07,-4.03E-08,-4.27E-08,6.56E-01,8.60E-01,-1.52E+00,1.12E+00,1.08E-06,-2.32E+00,-9.50E-08,
1156,-1.12E-07,4.16E-08,6.48E-08,-5.37E-08,4.70E-08,1.21E-08,7.44E-01,7.92E-01,-5.60E-03,-3.46E-08,1.29E-08,1.94E-08,-1.61E-08,1.38E-08,3.57E-09,6.69E-01,8.49E-01,-1.52E+00,1.12E+00,3.98E-08,-3.58E-01,-3.52E-08,
1157,-2.62E-06,1.83E-06,2.41E-06,-1.74E-06,2.08E-07,-9.09E-08,7.48E-01,7.88E-01,-5.76E-03,-8.11E-07,5.66E-07,7.20E-07,-5.19E-07,6.13E-08,-2.68E-08,6.82E-01,8.36E-01,-1.52E+00,1.11E+00,1.07E-06,-6.10E-01,-1.04E-06,
1158,-6.75E-07,4.23E-06,6.05E-07,-3.99E-06,7.02E-08,-2.39E-07,7.53E-01,7.83E-01,-5.87E-03,-2.09E-07,1.31E-06,1.81E-07,-1.19E-06,2.07E-08,-7.04E-08,6.96E-01,8.24E-01,-1.52E+00,1.10E+00,1.44E-06,-1.41E+00,-1.22E-06,
1159,2.21E-06,1.52E-06,-2.14E-06,-1.35E-06,-7.22E-08,-1.62E-07,7.57E-01,7.79E-01,-5.92E-03,6.86E-07,4.69E-07,-6.40E-07,-4.04E-07,-2.13E-08,-4.76E-08,7.10E-01,8.11E-01,-1.52E+00,1.09E+00,9.10E-07,-2.54E+00,1.17E-07,
1160,-1.26E-06,6.28E-08,1.23E-06,-5.24E-08,3.14E-08,-1.04E-08,7.61E-01,7.75E-01,-5.93E-03,-3.90E-07,1.95E-08,3.67E-07,-1.56E-08,9.26E-09,-3.08E-09,7.22E-01,7.99E-01,-1.52E+00,1.08E+00,4.30E-07,-4.98E-02,-3.02E-07,
1161,-8.46E-07,1.74E-06,7.33E-07,-1.73E-06,1.13E-07,-8.68E-09,7.65E-01,7.71E-01,-5.89E-03,-2.62E-07,5.38E-07,2.19E-07,-5.16E-07,3.33E-08,-2.56E-09,7.34E-01,7.87E-01,-1.52E+00,1.07E+00,6.62E-07,-1.12E+00,-6.37E-07,
1162,-1.00E-08,1.72E-06,-6.78E-08,-1.57E-06,7.78E-08,-1.45E-07,7.69E-01,7.68E-01,-5.82E-03,-3.11E-09,5.32E-07,-2.03E-08,-4.70E-07,2.29E-08,-4.29E-08,7.45E-01,7.76E-01,-1.52E+00,1.06E+00,5.91E-07,-1.57E+00,-4.43E-07,
1163,1.34E-07,3.88E-07,-4.62E-08,-2.95E-07,-8.78E-08,-9.29E-08,7.72E-01,7.64E-01,-5.70E-03,4.15E-08,1.20E-07,-1.38E-08,-8.82E-08,-2.59E-08,-2.74E-08,7.57E-01,7.65E-01,-1.52E+00,1.05E+00,1.04E-07,-1.73E+00,-6.56E-08,
1164,-1.05E-06,2.89E-07,1.14E-06,-3.44E-07,-8.68E-08,5.56E-08,7.77E-01,7.60E-01,-5.52E-03,-3.25E-07,8.94E-08,3.40E-07,-1.03E-07,-2.56E-08,1.64E-08,7.70E-01,7.52E-01,-1.52E+00,1.04E+00,4.08E-07,-2.93E-01,-3.48E-07,
1165,-1.29E-06,1.56E-06,1.19E-06,-1.63E-06,1.03E-07,6.36E-08,7.81E-01,7.55E-01,-5.28E-03,-4.00E-07,4.85E-07,3.55E-07,-4.86E-07,3.04E-08,1.87E-08,7.83E-01,7.38E-01,-1.52E+00,1.03E+00,6.89E-07,-9.39E-01,-6.86E-07,
1166,2.74E-08,2.17E-06,-1.08E-07,-2.09E-06,8.07E-08,-8.21E-08,7.85E-01,7.51E-01,-5.00E-03,8.48E-09,6.71E-07,-3.23E-08,-6.23E-07,2.38E-08,-2.42E-08,7.96E-01,7.25E-01,-1.52E+00,1.02E+00,7.11E-07,-1.62E+00,-5.05E-07,
1167,1.10E-06,3.65E-07,-1.10E-06,-2.21E-07,-4.01E-09,-1.44E-07,7.89E-01,7.48E-01,-4.75E-03,3.41E-07,1.13E-07,-3.28E-07,-6.60E-08,-1.18E-09,-4.24E-08,8.06E-01,7.15E-01,-1.52E+00,1.01E+00,3.80E-07,-2.94E+00,1.91E-07,
1168,-9.97E-07,-1.27E-06,1.10E-06,1.40E-06,-1.04E-07,-1.31E-07,7.91E-01,7.45E-01,-4.53E-03,-3.09E-07,-3.94E-07,3.29E-07,4.19E-07,-3.07E-08,-3.86E-08,8.14E-01,7.07E-01,-1.52E+00,1.01E+00,6.01E-07,9.05E-01,1.05E-07,
1169,-2.77E-06,1.90E-06,2.90E-06,-1.91E-06,-1.30E-07,9.84E-09,7.93E-01,7.42E-01,-4.31E-03,-8.59E-07,5.90E-07,8.67E-07,-5.72E-07,-3.83E-08,2.90E-09,8.21E-01,7.00E-01,-1.52E+00,1.00E+00,1.17E-06,-5.83E-01,-1.13E-06,
1170,1.08E-06,2.34E-06,-1.11E-06,-2.37E-06,2.38E-08,3.19E-08,7.96E-01,7.40E-01,-4.08E-03,3.36E-07,7.26E-07,-3.31E-07,-7.09E-07,7.00E-09,9.41E-09,8.28E-01,6.92E-01,-1.52E+00,9.96E-01,8.80E-07,-2.01E+00,-3.47E-07,
1171,-4.08E-07,-7.08E-07,3.57E-07,8.31E-07,5.04E-08,-1.23E-07,7.98E-01,7.38E-01,-3.87E-03,-1.26E-07,-2.19E-07,1.07E-07,2.48E-07,1.48E-08,-3.64E-08,8.34E-01,6.86E-01,-1.52E+00,9.91E-01,3.03E-07,1.16E+00,1.27E-07,
1172,-2.46E-06,1.56E-07,2.58E-06,7.72E-09,-1.25E-07,-1.64E-07,7.99E-01,7.37E-01,-3.74E-03,-7.61E-07,4.85E-08,7.72E-07,2.31E-09,-3.69E-08,-4.84E-08,8.37E-01,6.82E-01,-1.52E+00,9.88E-01,8.64E-07,1.43E-03,-5.75E-07,
1173,-1.47E-06,2.26E-06,1.63E-06,-2.25E-06,-1.64E-07,-6.71E-09,7.99E-01,7.37E-01,-3.73E-03,-4.55E-07,7.00E-07,4.88E-07,-6.73E-07,-4.82E-08,-1.98E-09,8.37E-01,6.82E-01,-1.52E+00,9.88E-01,9.31E-07,-9.44E-01,-9.26E-07,
1174,5.60E-08,1.87E-06,1.36E-08,-1.90E-06,-6.96E-08,3.39E-08,7.99E-01,7.37E-01,-3.76E-03,1.74E-08,5.78E-07,4.05E-09,-5.68E-07,-2.05E-08,1.00E-08,8.37E-01,6.83E-01,-1.52E+00,9.89E-01,6.36E-07,-1.56E+00,-4.77E-07,
1175,3.26E-07,9.35E-08,-3.63E-07,1.91E-08,3.73E-08,-1.13E-07,8.00E-01,7.36E-01,-3.62E-03,1.01E-07,2.90E-08,-1.08E-07,5.71E-09,1.10E-08,-3.32E-08,8.40E-01,6.79E-01,-1.52E+00,9.86E-01,1.21E-07,3.10E+00,8.48E-08,
1176,-2.09E-06,1.52E-07,2.28E-06,1.40E-08,-1.92E-07,-1.66E-07,8.03E-01,7.32E-01,-3.25E-03,-6.47E-07,4.71E-08,6.81E-07,4.17E-09,-5.66E-08,-4.90E-08,8.50E-01,6.69E-01,-1.52E+00,9.78E-01,7.59E-07,4.34E-03,-5.03E-07,
1177,-2.44E-06,2.46E-06,2.72E-06,-2.58E-06,-2.83E-07,1.20E-07,8.06E-01,7.28E-01,-2.74E-03,-7.54E-07,7.62E-07,8.12E-07,-7.71E-07,-8.35E-08,3.53E-08,8.61E-01,6.56E-01,-1.52E+00,9.69E-01,1.24E-06,-7.60E-01,-1.24E-06,
1178,2.20E-07,3.56E-06,-2.40E-07,-3.89E-06,2.04E-08,3.27E-07,8.09E-01,7.25E-01,-2.38E-03,6.81E-08,1.10E-06,-7.18E-08,-1.16E-06,6.02E-09,9.63E-08,8.69E-01,6.48E-01,-1.52E+00,9.63E-01,1.29E-06,-1.63E+00,-9.05E-07,
1179,1.36E-06,8.61E-07,-1.53E-06,-9.26E-07,1.68E-07,6.41E-08,8.09E-01,7.25E-01,-2.33E-03,4.22E-07,2.67E-07,-4.57E-07,-2.77E-07,4.96E-08,1.89E-08,8.70E-01,6.46E-01,-1.52E+00,9.62E-01,5.91E-07,-2.60E+00,1.09E-07,
1180,-8.72E-07,-6.07E-07,1.00E-06,7.08E-07,-1.29E-07,-1.01E-07,8.08E-01,7.27E-01,-2.57E-03,-2.70E-07,-1.88E-07,2.99E-07,2.12E-07,-3.79E-08,-2.97E-08,8.65E-01,6.52E-01,-1.52E+00,9.66E-01,4.05E-07,6.16E-01,-4.60E-08,
1181,-2.66E-06,1.15E-06,3.02E-06,-1.23E-06,-3.65E-07,7.35E-08,8.04E-01,7.30E-01,-3.04E-03,-8.23E-07,3.57E-07,9.03E-07,-3.66E-07,-1.08E-07,2.17E-08,8.54E-01,6.64E-01,-1.52E+00,9.75E-01,1.08E-06,-3.86E-01,-9.72E-07,
1182,-5.50E-07,3.49E-06,6.29E-07,-3.84E-06,-7.91E-08,3.50E-07,7.98E-01,7.37E-01,-3.73E-03,-1.70E-07,1.08E-06,1.88E-07,-1.15E-06,-2.33E-08,1.03E-07,8.37E-01,6.82E-01,-1.52E+00,9.89E-01,1.30E-06,-1.41E+00,-1.10E-06,
1183,1.49E-06,1.90E-06,-1.65E-06,-2.07E-06,1.52E-07,1.69E-07,7.90E-01,7.45E-01,-4.55E-03,4.63E-07,5.88E-07,-4.92E-07,-6.17E-07,4.47E-08,4.99E-08,8.11E-01,7.09E-01,-1.52E+00,1.01E+00,8.91E-07,-2.24E+00,-1.50E-07,
1184,7.21E-07,-2.27E-07,-7.73E-07,1.79E-07,5.21E-08,4.76E-08,7.79E-01,7.57E-01,-5.32E-03,2.23E-07,-7.02E-08,-2.31E-07,5.35E-08,1.53E-08,1.40E-08,7.79E-01,7.43E-01,-1.52E+00,1.03E+00,2.71E-07,2.91E+00,2.22E-07,
1185,-1.89E-06,2.21E-07,2.08E-06,-4.25E-07,-1.93E-07,2.03E-07,7.67E-01,7.69E-01,-5.80E-03,-5.84E-07,6.85E-08,6.21E-07,-1.27E-07,-5.68E-08,6.00E-08,7.40E-01,7.81E-01,-1.52E+00,1.06E+00,6.53E-07,-1.17E-01,-4.89E-07,
1186,-1.51E-06,1.56E-06,1.50E-06,-1.90E-06,1.35E-08,3.43E-07,7.52E-01,7.83E-01,-5.81E-03,-4.67E-07,4.82E-07,4.47E-07,-5.68E-07,3.98E-09,1.01E-07,6.96E-01,8.23E-01,-1.52E+00,1.10E+00,7.32E-07,-8.02E-01,-7.32E-07,
1187,-8.92E-07,1.52E-06,7.20E-07,-1.58E-06,1.73E-07,6.12E-08,7.37E-01,7.98E-01,-5.21E-03,-2.76E-07,4.71E-07,2.15E-07,-4.72E-07,5.09E-08,1.80E-08,6.47E-01,8.68E-01,-1.52E+00,1.13E+00,5.84E-07,-1.04E+00,-5.73E-07,
1188,-8.46E-07,1.81E-06,9.80E-07,-1.53E-06,-1.34E-07,-2.76E-07,7.21E-01,8.12E-01,-3.98E-03,-2.62E-07,5.60E-07,2.93E-07,-4.58E-07,-3.95E-08,-8.13E-08,5.99E-01,9.11E-01,-1.51E+00,1.17E+00,6.51E-07,-1.13E+00,-6.23E-07,
1189,-1.23E-06,6.86E-07,1.57E-06,-8.06E-07,-3.37E-07,1.19E-07,7.06E-01,8.25E-01,-2.33E-03,-3.81E-07,2.13E-07,4.69E-07,-2.41E-07,-9.94E-08,3.52E-08,5.54E-01,9.49E-01,-1.50E+00,1.20E+00,4.54E-07,-5.08E-01,-4.29E-07,
1190,-2.47E-06,1.81E-06,2.34E-06,-2.08E-06,1.31E-07,2.70E-07,6.93E-01,8.35E-01,-5.09E-04,-7.66E-07,5.62E-07,7.00E-07,-6.23E-07,3.87E-08,7.96E-08,5.15E-01,9.81E-01,-1.50E+00,1.23E+00,9.76E-07,-6.34E-01,-9.55E-07,
1191,-1.08E-06,3.78E-06,6.71E-07,-3.61E-06,4.11E-07,-1.67E-07,6.83E-01,8.43E-01,1.23E-03,-3.35E-07,1.17E-06,2.01E-07,-1.08E-06,1.21E-07,-4.92E-08,4.84E-01,1.01E+00,-1.49E+00,1.25E+00,1.24E-06,-1.29E+00,-1.12E-06,
1192,-1.49E-07,2.81E-06,1.21E-07,-2.28E-06,2.76E-08,-5.35E-07,6.75E-01,8.50E-01,2.74E-03,-4.61E-08,8.71E-07,3.63E-08,-6.80E-07,8.12E-09,-1.58E-07,4.59E-01,1.03E+00,-1.48E+00,1.26E+00,8.83E-07,-1.52E+00,-6.89E-07,
1193,-4.73E-07,1.32E-06,8.05E-07,-1.12E-06,-3.32E-07,-1.98E-07,6.68E-01,8.55E-01,4.03E-03,-1.47E-07,4.09E-07,2.41E-07,-3.35E-07,-9.79E-08,-5.85E-08,4.40E-01,1.04E+00,-1.48E+00,1.28E+00,4.38E-07,-1.22E+00,-4.06E-07,
1194,-2.42E-06,1.45E-06,2.28E-06,-1.49E-06,1.34E-07,4.55E-08,6.63E-01,8.58E-01,5.14E-03,-7.49E-07,4.49E-07,6.82E-07,-4.47E-07,3.94E-08,1.34E-08,4.24E-01,1.05E+00,-1.48E+00,1.29E+00,8.78E-07,-5.40E-01,-8.38E-07,
1195,-2.72E-06,3.22E-06,2.20E-06,-2.90E-06,5.13E-07,-3.17E-07,6.59E-01,8.62E-01,6.14E-03,-8.42E-07,9.97E-07,6.59E-07,-8.67E-07,1.51E-07,-9.33E-08,4.10E-01,1.06E+00,-1.47E+00,1.30E+00,1.31E-06,-8.70E-01,-1.31E-06,
1196,-3.80E-07,4.35E-06,1.41E-07,-3.62E-06,2.38E-07,-7.29E-07,6.55E-01,8.64E-01,6.98E-03,-1.18E-07,1.35E-06,4.23E-08,-1.08E-06,7.03E-08,-2.15E-07,3.99E-01,1.07E+00,-1.47E+00,1.30E+00,1.35E-06,-1.48E+00,-1.08E-06,
1197,1.46E-06,2.49E-06,-1.23E-06,-1.97E-06,-2.30E-07,-5.17E-07,6.52E-01,8.67E-01,7.73E-03,4.53E-07,7.71E-07,-3.68E-07,-5.90E-07,-6.79E-08,-1.52E-07,3.90E-01,1.08E+00,-1.47E+00,1.31E+00,8.92E-07,-2.10E+00,-2.72E-07,
1198,-6.06E-07,-4.65E-07,5.46E-07,3.27E-07,6.01E-08,1.38E-07,6.49E-01,8.68E-01,8.36E-03,-1.88E-07,-1.44E-07,1.63E-07,9.78E-08,1.77E-08,4.06E-08,3.82E-01,1.08E+00,-1.46E+00,1.32E+00,2.36E-07,6.54E-01,-1.77E-08,
1199,-2.76E-06,2.07E-06,2.14E-06,-1.81E-06,6.24E-07,-2.57E-07,6.47E-01,8.70E-01,8.90E-03,-8.55E-07,6.42E-07,6.38E-07,-5.42E-07,1.84E-07,-7.58E-08,3.75E-01,1.09E+00,-1.46E+00,1.32E+00,1.06E-06,-6.44E-01,-1.04E-06,
1200,-1.62E-06,3.11E-06,1.08E-06,-2.55E-06,5.34E-07,-5.63E-07,6.45E-01,8.71E-01,9.41E-03,-5.01E-07,9.64E-07,3.23E-07,-7.62E-07,1.57E-07,-1.66E-07,3.69E-01,1.09E+00,-1.46E+00,1.33E+00,1.08E-06,-1.09E+00,-1.05E-06,
1201,-3.93E-07,2.54E-06,1.68E-07,-1.92E-06,2.25E-07,-6.17E-07,6.43E-01,8.72E-01,9.83E-03,-1.22E-07,7.87E-07,5.01E-08,-5.75E-07,6.63E-08,-1.82E-07,3.64E-01,1.09E+00,-1.46E+00,1.33E+00,7.90E-07,-1.42E+00,-6.63E-07,
1202,-7.61E-07,1.77E-06,5.17E-07,-1.37E-06,2.44E-07,-3.95E-07,6.43E-01,8.73E-01,9.91E-03,-2.36E-07,5.48E-07,1.54E-07,-4.11E-07,7.20E-08,-1.16E-07,3.63E-01,1.10E+00,-1.46E+00,1.33E+00,5.92E-07,-1.16E+00,-5.61E-07,
1203,-1.81E-06,1.52E-06,1.33E-06,-1.28E-06,4.89E-07,-2.41E-07,6.44E-01,8.72E-01,9.58E-03,-5.62E-07,4.71E-07,3.96E-07,-3.82E-07,1.44E-07,-7.11E-08,3.67E-01,1.09E+00,-1.46E+00,1.33E+00,7.28E-07,-6.98E-01,-7.20E-07,
1204,-1.28E-06,2.03E-06,8.77E-07,-1.69E-06,4.01E-07,-3.40E-07,6.47E-01,8.70E-01,8.87E-03,-3.96E-07,6.30E-07,2.62E-07,-5.06E-07,1.18E-07,-1.00E-07,3.76E-01,1.09E+00,-1.46E+00,1.32E+00,7.40E-07,-1.01E+00,-7.29E-07,
1205,-1.24E-06,1.93E-06,8.56E-07,-1.59E-06,3.87E-07,-3.35E-07,6.51E-01,8.67E-01,7.89E-03,-3.85E-07,5.98E-07,2.56E-07,-4.76E-07,1.14E-07,-9.88E-08,3.88E-01,1.08E+00,-1.47E+00,1.31E+00,7.09E-07,-9.99E-01,-7.00E-07,
1206,-1.11E-06,1.92E-06,7.80E-07,-1.61E-06,3.35E-07,-3.08E-07,6.56E-01,8.63E-01,6.68E-03,-3.45E-07,5.93E-07,2.33E-07,-4.80E-07,9.86E-08,-9.08E-08,4.03E-01,1.07E+00,-1.47E+00,1.30E+00,6.87E-07,-1.04E+00,-6.73E-07,
1207,-1.55E-06,1.40E-06,1.05E-06,-1.22E-06,5.00E-07,-1.81E-07,6.62E-01,8.59E-01,5.32E-03,-4.79E-07,4.33E-07,3.13E-07,-3.64E-07,1.47E-07,-5.35E-08,4.21E-01,1.05E+00,-1.47E+00,1.29E+00,6.48E-07,-7.35E-01,-6.45E-07,
1208,-1.93E-06,1.86E-06,1.34E-06,-1.48E-06,5.92E-07,-3.76E-07,6.69E-01,8.54E-01,3.83E-03,-5.99E-07,5.76E-07,4.01E-07,-4.43E-07,1.74E-07,-1.11E-07,4.42E-01,1.04E+00,-1.48E+00,1.28E+00,8.38E-07,-7.66E-01,-8.35E-07,
1209,-2.23E-06,1.34E-06,1.70E-06,-1.07E-06,5.34E-07,-2.77E-07,6.77E-01,8.47E-01,2.20E-03,-6.91E-07,4.16E-07,5.07E-07,-3.19E-07,1.57E-07,-8.16E-08,4.67E-01,1.02E+00,-1.49E+00,1.26E+00,8.18E-07,-5.42E-01,-7.82E-07,
1210,-1.64E-06,2.01E-06,1.30E-06,-1.67E-06,3.46E-07,-3.39E-07,6.88E-01,8.39E-01,3.50E-04,-5.09E-07,6.21E-07,3.88E-07,-4.98E-07,1.02E-07,-9.98E-08,4.99E-01,9.94E-01,-1.49E+00,1.24E+00,8.21E-07,-8.84E-01,-8.21E-07,
1211,-1.03E-06,1.25E-06,6.67E-07,-1.22E-06,3.58E-07,-2.93E-08,7.00E-01,8.29E-01,-1.64E-03,-3.18E-07,3.87E-07,1.99E-07,-3.65E-07,1.06E-07,-8.64E-09,5.38E-01,9.62E-01,-1.50E+00,1.21E+00,5.17E-07,-8.85E-01,-5.17E-07,
1212,-1.82E-06,-2.73E-07,1.19E-06,1.56E-07,6.35E-07,1.17E-07,7.15E-01,8.16E-01,-3.48E-03,-5.64E-07,-8.47E-08,3.55E-07,4.66E-08,1.87E-07,3.45E-08,5.83E-01,9.24E-01,-1.51E+00,1.18E+00,5.96E-07,1.49E-01,-3.27E-07,
1213,-3.63E-06,9.33E-07,2.87E-06,-5.83E-07,7.52E-07,-3.50E-07,7.31E-01,8.03E-01,-4.88E-03,-1.12E-06,2.89E-07,8.59E-07,-1.74E-07,2.22E-07,-1.03E-07,6.30E-01,8.83E-01,-1.51E+00,1.14E+00,1.23E-06,-2.52E-01,-1.02E-06,
1214,-2.44E-06,3.12E-06,2.06E-06,-2.58E-06,3.78E-07,-5.45E-07,7.47E-01,7.88E-01,-5.71E-03,-7.54E-07,9.67E-07,6.15E-07,-7.70E-07,1.11E-07,-1.61E-07,6.79E-01,8.38E-01,-1.52E+00,1.11E+00,1.33E-06,-9.08E-01,-1.32E-06,
1215,-1.19E-09,2.68E-06,-8.56E-08,-2.46E-06,8.68E-08,-2.23E-07,7.63E-01,7.73E-01,-5.89E-03,-3.68E-10,8.32E-07,-2.56E-08,-7.36E-07,2.56E-08,-6.57E-08,7.28E-01,7.92E-01,-1.52E+00,1.07E+00,9.18E-07,-1.57E+00,-6.85E-07,
1216,-2.57E-07,-1.54E-07,-1.53E-07,7.38E-08,4.09E-07,8.00E-08,7.78E-01,7.57E-01,-5.39E-03,-7.95E-08,-4.76E-08,-4.56E-08,2.21E-08,1.21E-07,2.36E-08,7.76E-01,7.44E-01,-1.52E+00,1.04E+00,5.53E-08,2.65E+00,5.19E-08,
1217,-2.80E-06,7.81E-08,2.24E-06,1.79E-07,5.57E-07,-2.58E-07,7.93E-01,7.41E-01,-4.25E-03,-8.67E-07,2.42E-08,6.70E-07,5.36E-08,1.64E-07,-7.59E-08,8.22E-01,6.97E-01,-1.52E+00,1.00E+00,7.62E-07,7.66E-02,-4.63E-07,
