i,X1,Y1,X2,Y2,X3,Y3,DC D1 con scaled (V),DC D2 con scaled,DC D3 con scaled,Norm D1X,Norm D1Y,Norm D2X,Norm D2Y,Norm D3X,Norm D3Y,Norm DC1 (V),Norm DC2 (V),Norm DC3 (V),Normalised phase (rad),Ernest new,Ernest new phase (rad),Proj Ernest new, 
39,-1.28E-06,1.17E-06,-1.76E-06,1.86E-06,3.03E-06,-3.03E-06,6.57E-02,9.32E-01,5.01E-01,-3.95E-07,3.63E-07,-5.25E-07,5.55E-07,8.94E-07,-8.93E-07,-1.34E+00,1.29E+00,4.85E-02,2.65E+00,1.31E-06,-7.85E-01,-1.29E-06,
40,3.35E-07,1.55E-06,7.82E-07,1.81E-06,-1.12E-06,-3.36E-06,6.36E-02,9.29E-01,5.06E-01,1.04E-07,4.81E-07,2.34E-07,5.41E-07,-3.29E-07,-9.92E-07,-1.35E+00,1.29E+00,6.07E-02,2.66E+00,1.09E-06,-1.89E+00,-6.77E-07,
41,1.86E-07,2.80E-07,1.25E-07,-9.63E-08,-3.11E-07,-1.84E-07,6.01E-02,9.26E-01,5.13E-01,5.75E-08,8.68E-08,3.74E-08,-2.88E-08,-9.15E-08,-5.42E-08,-1.36E+00,1.28E+00,8.16E-02,2.67E+00,1.12E-07,-2.60E+00,4.16E-09,
42,-1.12E-06,1.19E-07,-1.65E-06,-4.30E-08,2.78E-06,-7.63E-08,5.59E-02,9.21E-01,5.21E-01,-3.47E-07,3.69E-08,-4.94E-07,-1.28E-08,8.18E-07,-2.25E-08,-1.37E+00,1.26E+00,1.08E-01,2.69E+00,8.52E-07,-2.81E-02,-4.86E-07,
43,-1.31E-06,1.10E-06,-1.70E-06,1.37E-06,3.02E-06,-2.47E-06,5.12E-02,9.15E-01,5.31E-01,-4.07E-07,3.40E-07,-5.08E-07,4.08E-07,8.89E-07,-7.27E-07,-1.38E+00,1.25E+00,1.38E-01,2.71E+00,1.20E-06,-6.85E-01,-1.14E-06,
44,-4.38E-07,1.91E-06,-3.38E-07,2.43E-06,7.76E-07,-4.34E-06,4.62E-02,9.08E-01,5.42E-01,-1.36E-07,5.92E-07,-1.01E-07,7.27E-07,2.29E-07,-1.28E-06,-1.40E+00,1.23E+00,1.71E-01,2.73E+00,1.36E-06,-1.39E+00,-1.25E-06,
45,6.49E-07,1.10E-06,1.10E-06,1.27E-06,-1.74E-06,-2.38E-06,4.10E-02,9.01E-01,5.54E-01,2.01E-07,3.42E-07,3.27E-07,3.80E-07,-5.14E-07,-7.00E-07,-1.41E+00,1.21E+00,2.06E-01,2.75E+00,9.10E-07,-2.20E+00,-3.20E-07,
46,1.33E-08,1.62E-07,2.66E-07,4.55E-08,-2.80E-07,-2.07E-07,3.59E-02,8.93E-01,5.66E-01,4.12E-09,5.01E-08,7.96E-08,1.36E-08,-8.24E-08,-6.11E-08,-1.43E+00,1.18E+00,2.43E-01,2.78E+00,1.08E-07,-2.50E+00,-7.02E-09,
47,-1.47E-06,5.57E-07,-1.79E-06,5.34E-07,3.26E-06,-1.09E-06,3.14E-02,8.86E-01,5.78E-01,-4.55E-07,1.72E-07,-5.35E-07,1.60E-07,9.60E-07,-3.22E-07,-1.44E+00,1.16E+00,2.78E-01,2.80E+00,1.07E-06,-3.23E-01,-8.39E-07,
48,-5.46E-07,1.79E-06,-8.51E-07,2.55E-06,1.40E-06,-4.34E-06,2.76E-02,8.79E-01,5.88E-01,-1.69E-07,5.54E-07,-2.54E-07,7.63E-07,4.12E-07,-1.28E-06,-1.45E+00,1.14E+00,3.07E-01,2.82E+00,1.42E-06,-1.26E+00,-1.37E-06,
49,5.93E-07,1.36E-06,9.86E-07,2.26E-06,-1.58E-06,-3.62E-06,2.50E-02,8.74E-01,5.95E-01,1.84E-07,4.22E-07,2.95E-07,6.75E-07,-4.65E-07,-1.07E-06,-1.45E+00,1.13E+00,3.29E-01,2.84E+00,1.24E-06,-1.98E+00,-6.77E-07,
50,-6.84E-07,1.44E-08,-7.88E-07,9.02E-08,1.47E-06,-1.05E-07,2.35E-02,8.71E-01,6.00E-01,-2.12E-07,4.47E-09,-2.36E-07,2.70E-08,4.34E-07,-3.08E-08,-1.46E+00,1.12E+00,3.42E-01,2.84E+00,4.63E-07,-7.05E-02,-2.80E-07,
51,-1.36E-06,1.20E-06,-1.97E-06,1.90E-06,3.33E-06,-3.10E-06,2.29E-02,8.70E-01,6.01E-01,-4.23E-07,3.71E-07,-5.88E-07,5.69E-07,9.82E-07,-9.14E-07,-1.46E+00,1.11E+00,3.47E-01,2.85E+00,1.43E-06,-7.49E-01,-1.39E-06,
52,2.42E-08,2.00E-06,2.12E-07,3.32E-06,-2.36E-07,-5.32E-06,2.28E-02,8.70E-01,6.02E-01,7.50E-09,6.19E-07,6.33E-08,9.92E-07,-6.96E-08,-1.57E-06,-1.46E+00,1.11E+00,3.48E-01,2.85E+00,1.67E-06,-1.61E+00,-1.35E-06,
53,6.96E-07,9.45E-07,1.23E-06,1.56E-06,-1.93E-06,-2.51E-06,2.35E-02,8.71E-01,6.00E-01,2.16E-07,2.93E-07,3.67E-07,4.67E-07,-5.68E-07,-7.40E-07,-1.46E+00,1.12E+00,3.42E-01,2.84E+00,9.91E-07,-2.23E+00,-3.28E-07,
54,2.59E-08,2.25E-08,4.61E-08,4.66E-08,-7.19E-08,-6.91E-08,2.53E-02,8.75E-01,5.95E-01,8.01E-09,6.97E-09,1.38E-08,1.39E-08,-2.12E-08,-2.04E-08,-1.45E+00,1.13E+00,3.27E-01,2.83E+00,3.12E-08,-2.38E+00,-5.77E-09,
55,-8.25E-07,2.78E-07,-1.40E-06,3.25E-07,2.23E-06,-6.03E-07,2.76E-02,8.79E-01,5.88E-01,-2.56E-07,8.62E-08,-4.20E-07,9.71E-08,6.57E-07,-1.78E-07,-1.45E+00,1.14E+00,3.08E-01,2.82E+00,7.20E-07,-2.65E-01,-5.38E-07,
56,-1.10E-06,9.54E-07,-1.96E-06,1.64E-06,3.06E-06,-2.59E-06,3.01E-02,8.84E-01,5.81E-01,-3.40E-07,2.96E-07,-5.87E-07,4.89E-07,9.02E-07,-7.63E-07,-1.44E+00,1.15E+00,2.87E-01,2.81E+00,1.25E-06,-7.02E-01,-1.19E-06,
57,1.71E-07,1.65E-06,2.37E-07,2.80E-06,-4.08E-07,-4.45E-06,3.32E-02,8.89E-01,5.74E-01,5.30E-08,5.12E-07,7.07E-08,8.35E-07,-1.20E-07,-1.31E-06,-1.43E+00,1.17E+00,2.64E-01,2.79E+00,1.39E-06,-1.66E+00,-1.09E-06,
58,6.73E-07,7.76E-07,1.10E-06,1.08E-06,-1.78E-06,-1.86E-06,3.70E-02,8.95E-01,5.64E-01,2.08E-07,2.40E-07,3.30E-07,3.23E-07,-5.24E-07,-5.47E-07,-1.42E+00,1.19E+00,2.35E-01,2.77E+00,7.95E-07,-2.33E+00,-1.80E-07,
