Heating,Detector 1,Detector 2,Detector 3
3.23388,0.117394,0.191604,0.0392748
3.23913,0.111768,0.200667,0.0374
3.24438,0.107393,0.209729,0.0352128
3.24963,0.102392,0.219105,0.032713
3.25487,0.0973912,0.228167,0.0302133
3.26012,0.0920779,0.236605,0.0289634
3.26537,0.0870772,0.245043,0.0270886
3.27061,0.082389,0.252855,0.0252138
3.27586,0.0777009,0.260668,0.0242764
3.28111,0.0730127,0.268168,0.0224016
3.28636,0.0683246,0.275668,0.0217767
3.2916,0.0633239,0.282543,0.0202143
3.29685,0.0592608,0.287856,0.0189645
3.3021,0.0551977,0.294419,0.018652
3.30735,0.0508221,0.298794,0.0180271
3.31259,0.0473841,0.304419,0.0174021
3.31784,0.0436336,0.308481,0.0174021
3.32309,0.039883,0.313169,0.0174021
3.32834,0.0370701,0.316294,0.0170897
3.33358,0.0336322,0.320044,0.0174021
3.33883,0.0308193,0.321294,0.0177146
3.34408,0.028944,0.322857,0.0183395
3.34933,0.0264436,0.323794,0.0192769
3.35457,0.0248809,0.324732,0.0205268
3.35982,0.0233182,0.324732,0.0211517
3.36507,0.022068,0.323482,0.0224016
3.37031,0.0208178,0.322544,0.0236515
3.37556,0.0201928,0.320982,0.0249013
3.38081,0.0201928,0.318169,0.0270886
3.38606,0.0201928,0.315044,0.028026
3.3913,0.0201928,0.310981,0.0305258
3.39655,0.0211304,0.307231,0.0330255
3.4018,0.0217555,0.302544,0.0342754
3.40705,0.0226931,0.297231,0.0367751
3.41229,0.0248809,0.291919,0.0395873
3.41754,0.0267562,0.285356,0.0411496
3.42279,0.0295691,0.278793,0.0439618
3.42804,0.0314443,0.271293,0.0461491
3.43328,0.0342572,0.263793,0.0489613
3.43853,0.0373827,0.25598,0.0517735
3.44378,0.0405081,0.24723,0.0542732
3.44903,0.0442587,0.239418,0.056773
3.45427,0.0476966,0.230355,0.0595852
3.45952,0.0523848,0.221292,0.0623974
3.46477,0.0561353,0.212229,0.0648971
3.47001,0.0601984,0.203479,0.0670844
3.47526,0.0642615,0.193792,0.0698966
3.48051,0.0692622,0.184416,0.0723963
3.48576,0.0739504,0.175041,0.0752085
3.491,0.0786385,0.165041,0.0773958
3.49625,0.0839518,0.156603,0.0792706
3.5015,0.0889525,0.146916,0.0820828
3.50675,0.0936406,0.137541,0.0845826
3.51199,0.0983288,0.127853,0.0867698
3.51724,0.10333,0.11879,0.0883322
3.52249,0.10833,0.110353,0.090207
3.52774,0.113956,0.101602,0.0923942
3.53298,0.118332,0.0934772,0.0939566
3.53823,0.123332,0.0856646,0.0952064
3.54348,0.128646,0.0781644,0.0967688
3.54873,0.133021,0.0706643,0.0973937
3.55397,0.138022,0.0647267,0.0986436
3.55922,0.142085,0.057539,0.0992685
3.56447,0.146773,0.0516014,0.100831
3.56972,0.150836,0.0466013,0.101143
3.57496,0.154899,0.0419137,0.101768
3.58021,0.158025,0.0372262,0.101768
3.58546,0.161775,0.0334761,0.101768
3.5907,0.165213,0.0306635,0.101768
3.59595,0.168026,0.0275385,0.101456
3.6012,0.170839,0.0250384,0.101456
3.60645,0.173027,0.0241009,0.100206
3.61169,0.175527,0.0231634,0.0998934
3.61694,0.17709,0.0225384,0.098956
