i;DC1;DC2;DC3;X1;Y1;X2;Y2;X3;Y3
157;0.02534319;0.7694132;0.8943248;-1.28401E-07;1.42978E-07;9.55229E-08;-3.21209E-07;-8.02094E-07;1.07337E-06
158;0.02485046;0.7721859;0.8921452;-7.72256E-08;1.48854E-07;1.01278E-07;-5.08595E-07;-5.19964E-07;1.07872E-06
159;0.02438175;0.7748905;0.8900024;-8.70558E-08;1.25294E-07;1.45597E-07;-5.6133E-07;-6.28026E-07;8.77267E-07
160;0.02393629;0.777533;0.8879108;-7.83417E-08;1.03281E-07;7.66111E-08;-7.85796E-07;-7.20415E-07;7.41521E-07
161;0.02351815;0.780073;0.8858847;-6.82527E-08;9.04245E-08;-4.17998E-07;-6.60916E-07;-1.09621E-06;7.3988E-07
162;0.0231348;0.7824793;0.8839653;-6.15459E-08;9.11273E-08;-1.29306E-07;-8.76216E-07;-8.7763E-07;4.20786E-07
163;0.02278742;0.7847138;0.882178;-7.21475E-08;7.68627E-08;-6.19395E-07;-9.71302E-07;-1.21624E-06;3.46556E-07
164;0.0224767;0.7867545;0.8805333;-8.86577E-08;5.10144E-08;-2.89435E-07;-1.10879E-06;-8.64035E-07;9.14491E-08
165;0.02220438;0.7885675;0.8790598;-7.69785E-08;3.82183E-08;-4.57553E-07;-1.21234E-06;-1.03478E-06;6.16682E-08
166;0.0219722;0.7901385;0.877784;-6.16352E-08;6.96365E-08;-2.56603E-07;-6.41546E-07;-7.75108E-07;8.17561E-07
167;0.02178213;0.7914527;0.8767286;-5.3949E-08;6.96334E-08;-1.95343E-07;-5.7294E-07;-7.51988E-07;7.98429E-07
168;0.02163601;0.7924787;0.8759096;-7.78387E-08;5.70986E-08;-2.86041E-07;-5.76153E-07;-9.97436E-07;7.84483E-07
169;0.02153984;0.7931619;0.8753738;-8.5944E-08;5.48039E-08;-1.00168E-07;-6.3298E-07;-6.16677E-07;7.68613E-07
170;0.021498;0.7934591;0.8751505;-9.34422E-08;6.07478E-08;-2.36356E-08;-5.73601E-07;-5.6592E-07;6.36392E-07
171;0.02150994;0.7933831;0.8752324;-1.08983E-07;4.02094E-08;2.05343E-07;-8.59528E-07;-5.14539E-07;4.11154E-07
172;0.02156143;0.7930129;0.8755391;-7.78335E-08;4.11711E-08;1.32788E-07;-8.39734E-07;-3.10899E-07;5.64621E-07
173;0.02164121;0.7924449;0.87601;-6.21713E-08;1.79996E-08;3.62415E-07;-4.39342E-07;-3.23624E-07;6.11084E-07
174;0.02174267;0.7917276;0.8766107;-4.43396E-08;6.17765E-08;3.42917E-07;-6.02274E-07;-2.98852E-07;7.31962E-07
175;0.02185661;0.7909289;0.877292;-3.7547E-08;6.42037E-08;1.2677E-07;-6.99902E-07;-1.3163E-07;7.1591E-07
176;0.02197642;0.7900894;0.8780043;-7.95802E-08;4.64136E-08;-1.15053E-08;-7.21739E-07;-6.92927E-07;4.33784E-07
