Time,Interferometric Phase,Sensitivity,PTI Signal
s,rad,1/rad,µrad
3147,1.9123499769263963,0.5783748618212085,-21.513236446126015
3148,1.9351574543221848,0.573395053539785,-22.462015479730074
3149,1.9470530917134752,0.5706792295061534,-17.227099820885165
3150,1.9513492742691523,0.5696785236464669,-24.835248956383413
3151,1.954289999598555,0.5689874801956952,-22.678506607029558
3152,1.9583031787880025,0.5680364816778057,-24.059874346732705
3153,1.9649926727912443,0.5664309531186859,-20.174443319751372
3154,1.9765913820188177,0.5635871431663423,-26.7674839330239
3155,1.9945834122504826,0.5590259154695796,-22.760025835404086
3156,2.0201322144562783,0.5522383828051967,-24.05175636545274
3157,2.055786235490858,0.5421647297236794,-27.990250709250155
3158,2.0975156507529085,0.5295002374284248,-22.104290043740733
3159,2.1300357022252214,0.5189903482300046,-24.973930109249853
3160,2.142914768240718,0.5146757173308387,-24.371163827098986
3161,2.1369398780795508,0.5166880314718932,-25.82255222410139
3162,2.1168006021721935,0.5233345613227778,-26.388662384668148
3163,2.086172905103602,0.5330348482874498,-23.115292340556522
3164,2.0528773348475515,0.543012604891948,-21.715454902632818
3165,2.0227910818591965,0.5515112172534894,-22.353233677188506
3166,1.9937695360301497,0.5592361633710216,-27.808684171529197
3167,1.9630725427517317,0.5668943954755123,-19.991007199438325
3168,1.9315939562299078,0.5741928387242925,-30.582240235636032
3169,1.9006192152387575,0.5808191635631053,-22.478643707364657
3170,1.8710415473170157,0.5866266191162395,-23.490227707884273
3171,1.8443941283696443,0.5914194409571671,-24.501886100848033
3172,1.8218918562499806,0.5951398133040203,-23.950189168439692
3173,1.8051628630152636,0.5977104829081202,-25.854955472428433
3174,1.7952167251848312,0.5991596168010457,-24.724191210807167
3175,1.7907008629925407,0.5997980130526646,-19.194654072217535
3176,1.7909704836561642,0.5997602406655832,-26.341326211856384
3177,1.7989911446519298,0.5986166617807668,-24.222258884945393
3178,1.8104723561387177,0.5969126832451356,-23.3194795966086
3179,1.8166998755952235,0.5959555003166213,-26.12515321676344
3180,1.8131946217586856,0.5964971110177896,-24.25355466661958
3181,1.8012862985789435,0.5982823309414127,-28.574056006328647
3182,1.7859059547601714,0.6004624683071184,-22.867528048100652
3183,1.7673959652918045,0.6028978493594692,-19.754660267858448
3184,1.7414352885651023,0.6059653416612297,-24.993259258331967
3185,1.7059378339537117,0.6094983759518755,-24.756170407374448
3186,1.6615783884596331,0.6128335759971364,-27.356593337906077
3187,1.6123676762087074,0.6151226091224665,-14.884956352001936
3188,1.5631685377666793,0.6159222912292607,-25.566764956218588
3189,1.519566514095648,0.6153851192117803,-25.60485983866069
3190,1.4849958921399935,0.6141276863848946,-23.62372395121055
3191,1.4585848792644747,0.6126724264693562,-26.363000529772755
3192,1.4395790594412063,0.611360716750365,-26.387056590443358
3193,1.4271068254743258,0.6103798905815186,-23.916789339056876
3194,1.4208313724102821,0.6098504687407688,-20.097942740369128
3195,1.4210827042622713,0.609872133895495,-31.626166145245463
3196,1.4299178153396033,0.6106092428192864,-24.683373233428295
3197,1.4484948033251297,0.6120035767298425,-26.051046887985777
3198,1.4755901426258478,0.6136584898316227,-29.70600364858096
3199,1.5095318704296785,0.6150958298351877,-17.716578206696237
3200,1.547015854324823,0.6158598082281072,-20.626928423727303
3201,1.5812528805613275,0.6158015759270802,-23.949423666607377
3202,1.6076457450322215,0.6152639976812497,-20.45188939073779
3203,1.6266376310784008,0.6146119859676462,-23.839315416208894
3204,1.6412946614563426,0.613957222691897,-26.159648630409393
3205,1.6549600089479197,0.6132279475116381,-27.23984916205666
3206,1.6692517273894698,0.612342740350762,-29.506783677178703
3207,1.6843986803319426,0.6112680442571671,-22.464225153825854
3208,1.699908102899251,0.6100223179157513,-26.278684292470658
3209,1.7161814042712396,0.6085574905116509,-27.681054464279587
3210,1.7357160349167344,0.6065862978795195,-22.744707055626694
3211,1.7590062478216286,0.6039337124853393,-27.32435136339544
3212,1.781509699030139,0.6010595492547699,-18.383661064365338
3213,1.7974857066017536,0.5988342437653517,-31.96498907850718
3214,1.8059427050740322,0.5975943596855959,-23.71788528063935
3215,1.8101110860262881,0.5969675011566287,-18.857563136677733
3216,1.813933433850805,0.5963835635869679,-26.19218026464482
