Interferometric Phase;PTI;R1;R2;R3;System_Phase_1;System_Phase_2;System_Phase_3
-3.0003;-1.65765e-06;1.33489e-07;5.54535e-07;1.23522e-06;1.83536;-1.33492;1.66122
-3.00073;-1.58242e-06;1.34361e-07;4.368e-07;1.44174e-06;2.04452;-2.25452;1.91793
-3.00143;-1.59831e-06;1.51127e-07;1.33554e-07;1.53071e-06;1.94118;-0.60473;1.72273
-3.00239;-1.43243e-06;1.35527e-07;3.89225e-07;1.32704e-06;1.98435;-0.40424;1.46595
-3.00359;-1.33214e-06;1.2552e-07;4.11661e-07;1.19367e-06;2.00417;-2.25876;1.90818
-3.00508;-1.56933e-06;1.57232e-07;5.44267e-07;1.29224e-06;1.80273;-2.0278;1.84485
-3.00688;-1.49077e-06;1.44164e-07;9.08111e-07;1.00106e-06;1.80076;-2.03757;2.06874
-3.00898;-1.42473e-06;1.11511e-07;9.59561e-07;5.16915e-07;1.88252;-1.23717;1.64789
-3.01134;-1.5245e-06;1.21828e-07;9.59982e-07;5.473e-07;1.88154;-1.21172;1.94435
-3.01395;-1.48315e-06;1.20945e-07;1.08979e-06;7.26872e-07;1.92825;-1.76492;2.5414
-3.01679;-1.32924e-06;1.08109e-07;1.19423e-06;8.5298e-07;1.86484;-2.01734;2.76364
-3.01982;-1.24396e-06;1.01901e-07;1.32034e-06;1.00485e-06;1.8592;-1.88454;-2.97149
-3.02301;-1.36264e-06;7.91397e-08;1.44817e-06;1.29554e-06;1.96306;-2.08796;3.13363
-3.02636;-1.48819e-06;9.28146e-08;1.50669e-06;1.04065e-06;1.55853;-2.05488;2.86897
-3.02982;-1.52111e-06;8.18284e-08;1.42991e-06;1.00368e-06;1.65775;-1.94961;2.91905
-3.03334;-1.31895e-06;6.57408e-08;7.57053e-07;9.82835e-07;1.91179;-1.85325;2.73645
-3.03687;-1.5023e-06;7.4351e-08;6.39521e-07;1.03346e-06;1.80342;-1.7126;2.37556
-3.04034;-1.6119e-06;6.72816e-08;1.1748e-06;9.06873e-07;1.64916;-1.84265;2.47774
-3.04372;-1.55419e-06;4.83303e-08;1.52504e-06;1.11415e-06;1.83457;-2.0574;2.83164
-3.04699;-1.61126e-06;5.35613e-08;1.27196e-06;6.77497e-07;2.1037;-1.57497;2.74701
-3.05013;-1.58462e-06;3.39986e-08;1.12461e-06;7.88874e-07;2.27466;-1.59467;2.67603
-3.0532;-1.75574e-06;2.25418e-08;1.02263e-06;8.70194e-07;2.25519;-1.32481;1.80444
-3.05627;-1.849e-06;2.71798e-08;9.58059e-07;1.29248e-06;1.60816;-0.679747;1.39307
-3.05942;-1.72626e-06;2.48498e-08;7.82532e-07;1.26927e-06;2.61203;-0.53017;1.51139
-3.06274;-1.53603e-06;1.10467e-08;1.17005e-06;1.43568e-06;-0.266731;-0.241491;1.07493
-3.06617;-1.67293e-06;1.89725e-08;1.29896e-06;1.05234e-06;-0.715759;-0.747302;1.01764
-3.06971;-1.65028e-06;3.65219e-08;1.539e-06;1.03802e-06;-1.16362;-0.688876;0.796138
3.06912;-1.55052e-06;2.12387e-08;1.29501e-06;1.07965e-06;-1.22325;-0.475478;0.966382
3.06612;-1.50639e-06;2.141e-08;1.61651e-06;1.55297e-06;-0.635323;-0.273784;0.746777
3.06296;-1.41901e-06;2.62607e-08;1.18727e-06;1.55218e-06;-0.0191986;-0.17145;0.971797
3.05967;-1.3946e-06;1.15449e-08;1.40998e-06;1.61658e-06;0.297763;-0.290791;0.77574
3.05634;-1.3028e-06;2.03844e-08;9.92341e-07;1.31236e-06;0.00597874;-0.322498;0.991269
3.05302;-1.30772e-06;3.99557e-08;1.07652e-06;6.13207e-07;0.304719;-0.811228;1.02748
3.04983;-1.41056e-06;6.86206e-08;1.20552e-06;3.93749e-07;0.107174;-0.912904;1.14758
3.0469;-1.52736e-06;4.90357e-08;1.23932e-06;5.14432e-07;0.37848;-1.47672;2.45753
3.04432;-1.49102e-06;4.88064e-08;1.23947e-06;5.36673e-07;0.156487;-1.57454;2.45558
3.0421;-1.308e-06;7.37545e-08;1.24958e-06;5.56945e-07;0.541922;-1.75632;2.6714
3.04022;-1.24564e-06;6.29924e-08;1.21556e-06;7.00746e-07;0.430341;-1.96284;2.582
3.03869;-1.41119e-06;5.67015e-08;1.36578e-06;9.18961e-07;0.348327;-1.87504;2.97842
3.03758;-1.47877e-06;5.88896e-08;1.49119e-06;9.29159e-07;0.14969;-1.8241;3.09427
3.03687;-1.56114e-06;7.01143e-08;1.19553e-06;8.14519e-07;0.40353;-1.70524;2.60936
3.03655;-1.62421e-06;8.48233e-08;1.08281e-06;6.44796e-07;0.63477;-1.24387;2.16588
3.03655;-1.45929e-06;7.17442e-08;9.60752e-07;6.9083e-07;0.554998;-1.1075;1.52435
3.03678;-1.44212e-06;4.92026e-08;6.81561e-07;1.16937e-06;0.928191;-0.829146;1.37638
3.03717;-1.39225e-06;5.38042e-08;7.99112e-07;1.36824e-06;0.971745;-0.233651;1.2593
3.03758;-1.2802e-06;5.03179e-08;4.34088e-07;1.35949e-06;1.58722;-0.266708;1.4432
3.03798;-1.45085e-06;2.63051e-08;5.59005e-07;1.32508e-06;1.47683;-0.4629;1.4693
3.03834;-1.42759e-06;3.66981e-08;4.03651e-07;1.55551e-06;1.62549;0.22942;1.63576
3.03859;-1.28686e-06;3.78169e-08;5.36808e-07;1.89676e-06;1.91542;1.02804;1.56709
3.03865;-1.21193e-06;6.95039e-08;7.64347e-07;2.02064e-06;1.87925;1.06151;1.53379
3.03844;-1.2473e-06;5.46342e-08;3.44036e-07;1.73048e-06;1.92835;1.3442;1.71975
3.03788;-1.23961e-06;4.6979e-08;6.05879e-07;1.78242e-06;2.45921;2.96815;2.00469
3.03699;-1.24289e-06;5.92197e-08;6.21095e-07;1.5084e-06;-3.14159;-2.81523;2.25363
3.03576;-1.31863e-06;4.48113e-08;6.64393e-07;1.2557e-06;-3.12003;-2.29306;2.30825
3.03417;-1.31099e-06;3.81875e-08;6.89164e-07;1.44033e-06;-2.79331;-2.56836;2.38899
3.03222;-1.33878e-06;3.17617e-08;1.15818e-06;1.20984e-06;-2.26953;-2.21027;2.70931
3.02993;-1.34946e-06;4.45178e-08;1.22695e-06;1.34628e-06;-2.91494;-2.30014;2.69893
3.02735;-1.43878e-06;3.60298e-08;1.42832e-06;1.06074e-06;-2.43446;-2.01753;2.86203
